,name,cate_1,cate_2,cate_3,dong,lon,lat,cate_mix,naver_keyword,naver_map_url,naver_store_type,naver_star_point,visitor_review,naver_blog_review_qty,office_review
128955,가야포차선지국밥,유흥주점,소주방/포장마차,기타 주점업,중동,35.17113108,129.1722604,유흥주점소주방 포장마차기타 주점업,중동%20가야포차선지국밥,https://m.place.naver.com/restaurant/37830332,국밥,4.36,210,32,0
100135,서울깍두기,한식,한식/백반/한정식,한식 음식점업,중동,35.16222043,129.1727802,한식한식 백반 한정식한식 음식점업,중동%20서울깍두기,https://m.place.naver.com/restaurant/17005696,한식,4.25,182,33,0
104097,홈메이드,양식,정통양식/경양식,서양식 음식점업,중동,35.16164179,129.1766794,양식정통양식 경양식서양식 음식점업,중동%20홈메이드,https://m.place.naver.com/restaurant/37213766,"카페,디저트",4.3,335,33,0
92539,해운대이름난암소갈비,한식,갈비/삼겹살,한식 음식점업,중동,35.16193095,129.1672879,한식갈비 삼겹살한식 음식점업,중동%20해운대이름난암소갈비,https://m.place.naver.com/restaurant/11484413,"육류,고기요리",4.63,483,338,33
94515,해운대이름난암소갈비,한식,갈비/삼겹살,한식 음식점업,중동,35.16208353,129.164546,한식갈비 삼겹살한식 음식점업,중동%20해운대이름난암소갈비,https://m.place.naver.com/restaurant/11484413,"육류,고기요리",4.63,483,338,0
104637,해운대이름난암소갈비,한식,갈비/삼겹살,한식 음식점업,중동,35.16270363,129.1694174,한식갈비 삼겹살한식 음식점업,중동%20해운대이름난암소갈비,https://m.place.naver.com/restaurant/11484413,"육류,고기요리",4.63,483,338,0
143858,리춘시장,중식,중국음식/중국집,중식 음식점업,중동,35.15983569,129.1611443,중식중국음식 중국집중식 음식점업,중동%20리춘시장,https://m.place.naver.com/restaurant/1180044510,중식당,4.35,338,34,0
39759,아티스타[Artista],일식/수산물,음식점-일식,일식 음식점업,중동,35.16720565,129.171787,일식 수산물음식점-일식일식 음식점업,중동%20아티스타[Artista],https://m.place.naver.com/restaurant/21060978,"멕시코,남미음식",4.15,39,34,0
94496,ARTISTA,양식,정통양식/경양식,서양식 음식점업,중동,35.16720565,129.171787,양식정통양식 경양식서양식 음식점업,중동%20ARTISTA,https://m.place.naver.com/restaurant/21060978,"멕시코,남미음식",4.15,39,34,0
103766,할매김밥,분식,라면김밥분식,분식 및 김밥 전문점,중동,35.16221725,129.1628246,분식라면김밥분식분식 및 김밥 전문점,중동%20할매김밥,https://m.place.naver.com/restaurant/35337786,김밥,4.15,146,35,0
99470,키친동백,양식,기타전문서양음식점,서양식 음식점업,중동,35.15780847,129.1787864,양식기타전문서양음식점서양식 음식점업,중동%20키친동백,https://m.place.naver.com/restaurant/37778822,이탈리아음식,4.37,189,355,0
83117,노홍만두,분식,국수/만두/칼국수,분식 및 김밥 전문점,중동,35.1614273,129.1624841,분식국수 만두 칼국수분식 및 김밥 전문점,중동%20노홍만두,https://m.place.naver.com/restaurant/20980668,만두,4.36,837,355,0
81331,젠스시,일식/수산물,음식점-초밥전문,일식 음식점업,중동,35.17082329,129.1714656,일식 수산물음식점-초밥전문일식 음식점업,중동%20젠스시,https://m.place.naver.com/restaurant/13572545,"초밥,롤",4.42,59,357,0
83039,예이제,한식,한식/백반/한정식,한식 음식점업,중동,35.16098812,129.1669122,한식한식 백반 한정식한식 음식점업,중동%20예이제,https://m.place.naver.com/restaurant/38695522,한정식,4.15,144,359,10
91433,예이제,한식,갈비/삼겹살,한식 음식점업,중동,35.16021589,129.1666048,한식갈비 삼겹살한식 음식점업,중동%20예이제,https://m.place.naver.com/restaurant/38695522,한정식,4.15,144,359,0
98212,예이제한정식,한식,한정식전문,한식 음식점업,중동,35.16141689,129.1663805,한식한정식전문한식 음식점업,중동%20예이제한정식,https://m.place.naver.com/restaurant/38695522,한정식,4.15,144,359,0
99104,예이제한정식,한식,한식/백반/한정식,한식 음식점업,중동,35.16098812,129.1669122,한식한식 백반 한정식한식 음식점업,중동%20예이제한정식,https://m.place.naver.com/restaurant/38695522,한정식,4.15,144,359,0
74918,한마음회센터,일식/수산물,횟집,한식 음식점업,중동,35.15852191,129.1712124,일식 수산물횟집한식 음식점업,중동%20한마음회센터,https://m.place.naver.com/restaurant/21240373,생선회,4.26,156,36,0
