index,name,cate_1,cate_2,cate_3,dong,lon,lat,cate_mix,naver_keyword,naver_map_url,naver_store_type,naver_star_point,visitor_review,naver_blog_review_qty,office_review
16,스노잉클라우드,양식,정통양식/경양식,서양식 음식점업,중동,35.15728445,129.1816874,양식정통양식 경양식서양식 음식점업,중동%20스노잉클라우드,https://m.place.naver.com/restaurant/1010007916,"카페,디저트",4.74,2321,1091,0
17,엣지993,양식,정통양식/경양식,서양식 음식점업,중동,35.15642858,129.1751555,양식정통양식 경양식서양식 음식점업,중동%20엣지993,https://m.place.naver.com/restaurant/475538812,"카페,디저트",4.36,963,1093,0
18,엣지993까페,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,중동,35.15642858,129.1751555,커피점 카페커피전문점 카페 다방비알콜 음료점업,중동%20엣지993까페,https://m.place.naver.com/restaurant/475538812,"카페,디저트",4.36,963,1093,0
19,일미리금계찜닭,닭/오리요리,찜닭전문점,한식 음식점업,중동,35.17137251,129.1724615,닭 오리요리찜닭전문점한식 음식점업,중동%20일미리금계찜닭,https://m.place.naver.com/restaurant/1266779978,찜닭,4.5,127,10,0
20,대박집,한식,한식/백반/한정식,한식 음식점업,중동,35.16458555,129.1630669,한식한식 백반 한정식한식 음식점업,중동%20대박집,https://m.place.naver.com/restaurant/18691970,"육류,고기요리",4.4,253,10,0
21,등대횟집,일식/수산물,횟집,한식 음식점업,중동,35.17005748,129.1742209,일식 수산물횟집한식 음식점업,중동%20등대횟집,https://m.place.naver.com/restaurant/1799089657,생선회,4.61,70,10,0
22,등대횟집,일식/수산물,횟집,한식 음식점업,중동,35.17137251,129.1724615,일식 수산물횟집한식 음식점업,중동%20등대횟집,https://m.place.naver.com/restaurant/1799089657,생선회,4.61,71,10,0
23,BHC해운대달맞이,닭/오리요리,후라이드/양념치킨,치킨 전문점,중동,35.16202277,129.1764324,닭 오리요리후라이드 양념치킨치킨 전문점,중동%20BHC해운대달맞이,https://m.place.naver.com/restaurant/36860175,"치킨,닭강정",4.26,72,10,0
24,형제전통돼지국밥,한식,한식/백반/한정식,한식 음식점업,중동,35.16204785,129.1635686,한식한식 백반 한정식한식 음식점업,중동%20형제전통돼지국밥,https://m.place.naver.com/restaurant/1565464352,한식,4.24,366,100,0
25,형제전통돼지국밥,한식,한식/백반/한정식,한식 음식점업,중동,35.16115433,129.1618107,한식한식 백반 한정식한식 음식점업,중동%20형제전통돼지국밥,https://m.place.naver.com/restaurant/1565464352,한식,4.24,366,100,0
26,형제돼지국밥,한식,해장국/감자탕,한식 음식점업,중동,35.16084184,129.1614989,한식해장국 감자탕한식 음식점업,중동%20형제돼지국밥,https://m.place.naver.com/restaurant/1565464352,한식,4.24,366,100,0
27,만석꾼민물장어,일식/수산물,민물장어전문,한식 음식점업,중동,35.16950022,129.1731262,일식 수산물민물장어전문한식 음식점업,중동%20만석꾼민물장어,https://m.place.naver.com/restaurant/36803401,"장어,먹장어요리",4.24,120,105,0
28,비엔씨제과,제과제빵떡케익,제과점,제과점업,중동,35.16163619,129.1763281,제과제빵떡케익제과점제과점업,중동%20비엔씨제과,https://m.place.naver.com/restaurant/33364823,베이커리,4.51,1630,106,0
29,남포삼계탕,닭/오리요리,삼계탕전문,한식 음식점업,중동,35.16284443,129.1650947,닭 오리요리삼계탕전문한식 음식점업,중동%20남포삼계탕,https://m.place.naver.com/restaurant/33097168,"백숙,삼계탕",4.35,253,106,8
30,문양곱창,한식,곱창/양구이전문,한식 음식점업,중동,35.16956281,129.1694497,한식곱창 양구이전문한식 음식점업,중동%20문양곱창,https://m.place.naver.com/restaurant/1065661662,"곱창,막창,양",4.76,27,106,0
31,예이제갈비,한식,갈비/삼겹살,한식 음식점업,중동,35.16021589,129.1666048,한식갈비 삼겹살한식 음식점업,중동%20예이제갈비,https://m.place.naver.com/restaurant/16548532,소고기구이,4.37,118,108,0
32,카페일다,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,중동,35.16152637,129.189421,커피점 카페커피전문점 카페 다방비알콜 음료점업,중동%20카페일다,https://m.place.naver.com/restaurant/1891722890,"카페,디저트",4.58,231,109,0
33,토종순대국밥,별식/퓨전요리,순대전문점,한식 음식점업,중동,35.16105422,129.1712707,별식 퓨전요리순대전문점한식 음식점업,중동%20토종순대국밥,https://m.place.naver.com/restaurant/21153321,"순대,순댓국",4.29,193,11,0
34,아웃백스테이크하우스,양식,패밀리레스토랑,서양식 음식점업,중동,35.16046485,129.1622728,양식패밀리레스토랑서양식 음식점업,중동%20아웃백스테이크하우스,https://m.place.naver.com/restaurant/1527836391,패밀리레스토랑,4.6,196,11,0
